Date,Time,Transport_Mode,Route,Start_Location,End_Location,Distance_km,Passenger_Count,Delay_Duration_min,CO2_Emissions_kg,Satisfaction_Score
2025-04-03,05:00,Shared Cycling,Cycle-Share,North District,East District,2.5,1,0,0.0,5.0
2025-04-03,05:30,Bus,B-84,North District,East District,6.0,56,28,0.6,2.0
2025-04-03,06:30,Bus,B-38,North District,West District,7.8,20,1,0.78,3.0
2025-04-03,08:30,Metro,M-Yellow,City Center,East District,29.3,344,0,0.88,3.0
2025-04-03,09:45,Tram,T-15,North District,West District,4.0,97,9,0.16,4.0
2025-04-03,11:45,Bus,B-49,South District,East District,11.6,36,5,1.16,2.0
2025-04-03,17:45,Tram,T-2,East District,City Center,7.2,82,1,0.29,4.0
2025-04-04,06:15,Metro,M-Yellow,West District,South District,9.4,261,0,0.28,5.0
2025-04-04,12:45,Tram,T-6,North District,City Center,9.1,74,0,0.36,3.0
2025-04-04,13:15,Tram,T-1,West District,East District,7.6,101,0,0.3,2.0
2025-04-04,19:00,Metro,M-Red,City Center,North District,8.5,245,0,0.26,4.0
2025-04-04,19:00,Rail,R-Express,City Center,South District,36.1,335,11,1.81,2.0
2025-04-05,14:00,Bus,B-20,East District,West District,6.6,36,12,0.66,2.0
2025-04-05,23:45,Bus,B-52,North District,West District,7.9,36,2,0.79,4.0
2025-04-06,06:30,Tram,T-1,South District,North District,4.4,66,5,0.18,3.0
2025-04-06,16:30,Bus,B-32,West District,East District,9.1,1,0,0.91,4.0
2025-04-06,19:30,Bus,B-80,East District,West District,3.1,29,12,0.31,3.0
2025-04-06,23:30,Metro,M-Yellow,South District,East District,10.1,217,5,0.3,3.0
2025-04-07,11:30,Bus,B-30,East District,West District,2.8,29,8,0.28,3.0
2025-04-07,16:00,Bus,B-96,East District,West District,6.1,34,12,0.61,2.0
2025-04-07,19:45,Metro,M-Green,South District,North District,20.2,141,6,0.61,2.0
2025-04-08,06:45,Bus,B-58,North District,East District,10.5,30,9,1.05,1.0
2025-04-08,07:15,Rail,R-Local,City Center,East District,34.8,332,10,1.74,2.0
2025-04-08,10:00,Rail,R-Express,North District,East District,34.6,434,0,1.73,3.0
2025-04-08,10:00,Tram,T-15,West District,City Center,7.2,70,11,0.29,3.0
2025-04-08,10:30,Bus,B-45,South District,West District,8.3,48,13,0.83,2.0
2025-04-08,13:15,Shared Cycling,Cycle-Share,North District,City Center,2.9,1,0,0.0,5.0
2025-04-08,14:00,Tram,T-12,North District,City Center,3.8,88,6,0.15,2.0
2025-04-08,15:30,Bus,B-39,East District,South District,14.7,20,11,1.47,4.0
2025-04-08,15:45,Tram,T-4,City Center,North District,9.1,53,6,0.36,3.0
2025-04-08,23:15,Bus,B-83,North District,West District,8.2,27,1,0.82,3.0
2025-04-08,23:45,Metro,M-Yellow,City Center,West District,18.0,218,0,0.54,3.0
2025-04-09,05:30,Metro,M-Red,West District,South District,20.0,184,0,0.6,2.0
2025-04-09,05:30,Bus,B-18,City Center,West District,8.7,62,23,0.87,3.0
2025-04-09,08:45,Bus,B-98,South District,East District,3.0,69,0,0.3,2.0
2025-04-09,11:00,Bus,B-44,City Center,West District,11.1,71,16,1.11,4.0
2025-04-09,18:30,Bus,B-28,City Center,West District,5.4,34,0,0.54,
2025-04-09,18:30,Bus,B-82,South District,East District,11.6,55,0,1.16,4.0
2025-04-09,20:15,Rail,R-Local,North District,City Center,68.5,330,5,3.43,3.0
2025-04-10,07:00,Bus,B-28,City Center,North District,8.0,61,5,0.8,2.0
2025-04-10,07:15,Bus,B-55,South District,West District,10.4,49,5,1.04,3.0
2025-04-10,10:45,Bus,B-55,West District,North District,2.1,43,17,0.21,3.0
2025-04-10,14:45,Metro,M-Red,East District,West District,7.9,285,1,0.24,4.0
2025-04-10,23:15,Metro,M-Yellow,West District,East District,6.3,270,5,0.19,3.0
2025-04-11,22:45,Metro,M-Green,City Center,North District,16.4,193,0,0.49,2.0
2025-04-11,23:30,Bus,B-57,South District,East District,3.3,14,0,0.33,3.0
2025-04-12,08:15,Bus,B-11,East District,City Center,14.5,48,9,1.45,2.0
2025-04-12,09:00,Tram,T-4,City Center,West District,7.6,19,0,0.3,3.0
2025-04-12,09:30,Bus,B-90,South District,City Center,6.1,1,6,0.61,5.0
2025-04-12,13:30,Tram,T-1,North District,South District,2.1,66,3,0.08,4.0
2025-04-12,14:30,Bus,B-51,West District,City Center,11.9,19,4,1.19,1.0
2025-04-12,15:00,Tram,T-15,West District,City Center,2.2,104,4,0.09,4.0
2025-04-12,20:30,Bus,B-74,East District,City Center,3.4,53,0,0.34,3.0
2025-04-12,23:45,Metro,M-Blue,North District,South District,16.9,304,0,0.51,5.0
2025-04-13,08:45,Tram,T-7,North District,West District,9.2,72,11,0.37,3.0
2025-04-13,09:00,Tram,T-10,South District,North District,10.0,67,2,0.4,5.0
2025-04-13,14:30,Tram,T-15,West District,South District,2.6,49,10,0.1,3.0
2025-04-13,16:30,Bus,B-25,West District,North District,10.6,39,31,1.06,2.0
2025-04-13,16:30,Metro,M-Yellow,East District,West District,13.4,188,7,0.4,3.0
2025-04-13,19:30,Bus,B-18,North District,East District,3.2,30,4,0.32,3.0
2025-04-13,20:00,Bus,B-17,North District,South District,5.5,47,22,0.55,4.0
2025-04-13,20:15,Metro,M-Blue,East District,South District,17.0,305,1,0.51,3.0
2025-04-14,19:15,Metro,M-Yellow,West District,East District,9.2,372,2,0.28,2.0
2025-04-15,06:30,Bus,B-79,South District,East District,7.1,46,9,0.71,2.0
2025-04-15,12:00,Rail,R-Local,West District,North District,21.4,263,18,1.07,2.0
2025-04-15,18:00,Bus,B-82,West District,City Center,3.6,38,7,0.36,
2025-04-15,20:30,Metro,M-Blue,East District,West District,15.5,287,2,0.46,3.0
2025-04-15,22:15,Bus,B-78,City Center,West District,11.5,31,10,1.15,4.0
2025-04-16,13:45,Rail,R-Express,West District,East District,31.6,488,4,1.58,3.0
2025-04-16,16:30,Rail,R-Express,North District,City Center,47.6,380,33,2.38,2.0
2025-04-17,12:00,Bus,B-52,East District,North District,9.7,25,7,0.97,2.0
2025-04-17,19:15,Tram,T-10,East District,South District,7.4,58,7,0.3,4.0
2025-04-18,13:30,Rail,R-Express,West District,South District,51.1,647,9,2.56,3.0
2025-04-18,15:00,Bus,B-61,East District,City Center,14.0,26,16,1.4,4.0
2025-04-18,18:15,Tram,T-2,City Center,West District,6.4,88,4,0.26,2.0
2025-04-18,20:15,Bus,B-29,North District,West District,2.4,18,2,0.24,3.0
2025-04-18,21:00,Bus,B-15,South District,East District,7.4,47,2,0.74,4.0
2025-04-19,05:45,Bus,B-24,North District,City Center,11.4,52,0,1.14,4.0
2025-04-19,08:15,Bus,B-83,South District,North District,10.2,26,0,1.02,2.0
2025-04-19,09:45,Tram,T-3,South District,East District,2.6,80,0,0.1,2.0
2025-04-19,13:00,Bus,B-45,North District,West District,13.8,13,3,1.38,3.0
2025-04-19,13:45,Tram,T-8,West District,East District,9.9,59,0,0.4,2.0
2025-04-19,14:30,Tram,T-12,North District,South District,6.7,80,0,0.27,4.0
2025-04-19,17:00,Bus,B-93,North District,East District,8.2,57,0,0.82,3.0
2025-04-19,23:00,Bus,B-60,East District,South District,3.3,70,7,0.33,2.0
2025-04-19,23:15,Bus,B-77,West District,South District,11.1,44,14,1.11,3.0
2025-04-20,05:45,Bus,B-77,City Center,South District,6.3,50,0,0.63,4.0
2025-04-20,07:45,Metro,M-Red,City Center,West District,17.0,214,6,0.51,4.0
2025-04-20,11:15,Bus,B-67,West District,North District,9.8,74,0,0.98,4.0
2025-04-20,12:00,Metro,M-Blue,City Center,East District,15.2,226,7,0.46,4.0
2025-04-20,12:30,Bus,B-62,North District,East District,9.2,24,0,0.92,3.0
2025-04-20,19:30,Metro,M-Green,South District,East District,5.2,504,2,0.16,4.0
2025-04-20,23:15,Tram,T-7,City Center,North District,4.8,78,13,0.19,4.0
2025-04-21,08:00,Bus,B-73,City Center,East District,12.1,40,6,1.21,1.0
2025-04-21,08:15,Metro,M-Green,West District,East District,25.6,163,7,0.77,4.0
2025-04-21,10:15,Bus,B-22,South District,East District,14.8,21,2,1.48,3.0
2025-04-21,11:15,Tram,T-4,West District,North District,2.1,89,6,0.08,3.0
2025-04-21,18:45,Metro,M-Red,City Center,South District,29.4,396,8,0.88,4.0
2025-04-21,19:00,Metro,M-Blue,South District,East District,13.1,143,2,0.39,4.0
2025-04-21,22:30,Bus,B-38,North District,East District,5.3,60,4,0.53,3.0
2025-04-21,23:15,Bus,B-77,South District,North District,2.2,32,3,0.22,4.0
2025-04-22,08:00,Tram,T-4,East District,City Center,5.0,79,0,0.2,2.0
2025-04-22,09:45,Metro,M-Red,West District,North District,8.6,294,3,0.26,4.0
2025-04-22,17:15,Rail,R-Local,West District,South District,30.5,359,0,1.53,4.0
2025-04-22,20:30,Bus,B-94,City Center,North District,12.4,40,0,1.24,4.0
2025-04-23,09:45,Rail,R-Express,North District,City Center,70.9,331,21,3.55,2.0
2025-04-23,10:30,Rail,R-Express,City Center,North District,65.8,333,0,3.29,3.0
2025-04-23,10:45,Bus,B-72,West District,North District,4.2,31,0,0.42,3.0
2025-04-23,11:30,Metro,M-Yellow,North District,West District,20.1,123,0,0.6,3.0
2025-04-23,12:00,Bus,B-99,East District,City Center,7.7,47,5,0.77,3.0
2025-04-23,13:45,Tram,T-7,South District,City Center,8.0,35,0,0.32,4.0
2025-04-23,14:00,Metro,M-Blue,South District,West District,18.1,143,10,0.54,4.0
2025-04-23,15:45,Tram,T-7,North District,East District,5.1,73,0,0.2,4.0
2025-04-23,22:00,Rail,R-Local,East District,City Center,52.0,253,7,2.6,1.0
2025-04-24,06:15,Bus,B-61,City Center,South District,3.6,39,13,0.36,2.0
2025-04-24,07:15,Metro,M-Yellow,West District,North District,19.4,349,0,0.58,4.0
2025-04-24,08:00,Metro,M-Yellow,North District,City Center,29.4,228,6,0.88,4.0
2025-04-24,08:15,Shared Cycling,Cycle-Share,North District,East District,2.7,1,0,0.0,4.0
2025-04-24,09:00,Tram,T-8,East District,South District,6.5,111,4,0.26,2.0
2025-04-24,17:15,Tram,T-3,City Center,West District,9.2,58,8,0.37,4.0
2025-04-25,06:30,Bus,B-15,North District,City Center,6.1,49,3,0.61,4.0
2025-04-25,09:30,Rail,R-Express,City Center,North District,32.7,366,20,1.64,3.0
2025-04-25,16:15,Metro,M-Blue,East District,West District,28.5,265,4,0.85,4.0
2025-04-25,19:45,Bus,B-61,East District,City Center,8.6,51,0,0.86,3.0
2025-04-25,20:45,Shared Cycling,Cycle-Share,West District,East District,1.0,1,0,0.0,4.0
2025-04-25,21:15,Bus,B-76,City Center,North District,10.6,34,16,1.06,4.0
2025-04-26,07:00,Tram,T-15,East District,South District,6.7,71,0,0.27,3.0
2025-04-26,07:45,Metro,M-Green,North District,West District,19.9,302,0,0.6,3.0
2025-04-26,08:45,Bus,B-83,North District,East District,2.7,51,0,0.27,3.0
2025-04-26,10:00,Bus,B-65,West District,South District,5.6,30,0,0.56,2.0
2025-04-26,16:15,Bus,B-90,South District,North District,14.3,42,16,1.43,2.0
2025-04-26,19:30,Metro,M-Red,East District,North District,6.8,392,0,0.2,3.0
2025-04-26,20:45,Metro,M-Red,East District,City Center,13.0,239,0,0.39,4.0
2025-04-26,22:45,Metro,M-Green,North District,City Center,20.2,323,0,0.61,3.0
2025-04-26,22:45,Metro,M-Yellow,South District,West District,10.7,225,4,0.32,4.0
2025-04-27,05:00,Metro,M-Green,City Center,South District,20.7,287,0,0.62,2.0
2025-04-27,05:30,Metro,M-Red,South District,City Center,9.7,135,1,0.29,5.0
2025-04-27,09:00,Bus,B-44,West District,South District,2.4,28,2,0.24,2.0
2025-04-27,12:15,Bus,B-84,East District,South District,11.6,45,0,1.16,2.0
2025-04-27,16:45,Rail,R-Local,North District,East District,32.3,498,11,1.61,4.0
2025-04-27,23:45,Metro,M-Green,City Center,West District,14.3,367,1,0.43,3.0
2025-04-28,05:30,Bus,B-55,City Center,East District,4.5,35,19,0.45,5.0
2025-04-28,06:45,Metro,M-Green,East District,West District,19.6,336,6,0.59,3.0
2025-04-28,06:45,Metro,M-Yellow,South District,West District,6.1,303,0,0.18,4.0
2025-04-28,07:30,Shared Cycling,Cycle-Share,West District,North District,2.3,1,0,0.0,4.0
2025-04-28,09:00,Bus,B-69,West District,City Center,11.2,45,0,1.12,3.0
2025-04-28,23:45,Bus,B-86,West District,East District,5.3,34,0,0.53,3.0
2025-04-29,08:30,Metro,M-Red,East District,North District,6.2,334,3,0.19,3.0
2025-04-29,14:15,Bus,B-91,East District,North District,3.9,28,4,0.39,3.0
2025-04-29,21:15,Metro,M-Green,East District,South District,17.9,289,0,0.54,4.0
2025-04-29,23:15,Tram,T-1,North District,City Center,9.3,78,4,0.37,3.0
2025-04-30,09:45,Bus,B-58,North District,City Center,14.5,31,9,1.45,1.0
2025-04-30,15:30,Bus,B-15,North District,City Center,7.7,59,10,0.77,2.0
2025-04-30,16:45,Bus,B-55,West District,City Center,11.8,5,21,1.18,3.0
2025-04-30,18:30,Metro,M-Green,East District,South District,23.4,478,0,0.7,2.0
2025-04-30,20:30,Metro,M-Green,North District,East District,18.8,393,0,0.56,3.0
2025-04-30,20:45,Metro,M-Blue,North District,West District,20.1,416,0,0.6,4.0
2025-04-30,21:15,Metro,M-Yellow,City Center,West District,24.5,174,0,0.73,5.0
2025-05-01,07:45,Metro,M-Blue,South District,City Center,8.8,329,2,0.26,4.0
2025-05-01,09:30,Bus,B-33,East District,City Center,12.6,16,0,1.26,3.0
2025-05-01,10:00,Bus,B-49,West District,South District,10.3,46,0,1.03,3.0
2025-05-01,12:15,Bus,B-32,West District,North District,7.7,62,0,0.77,3.0
2025-05-01,13:45,Metro,M-Red,South District,City Center,29.8,61,5,0.89,4.0
2025-05-01,17:00,Metro,M-Yellow,North District,East District,17.4,337,0,0.52,3.0
2025-05-01,17:45,Bus,B-77,West District,North District,13.7,51,0,1.37,4.0
2025-05-01,21:30,Metro,M-Red,South District,West District,21.2,470,0,0.64,2.0
2025-05-01,23:45,Metro,M-Yellow,City Center,North District,17.0,182,0,0.51,3.0
2025-05-02,07:15,Metro,M-Green,South District,North District,29.4,234,6,0.88,4.0
2025-05-02,07:30,Rail,R-Local,East District,City Center,34.8,469,0,1.74,4.0
2025-05-02,10:45,Bus,B-60,North District,City Center,11.2,59,8,1.12,2.0
2025-05-02,11:00,Bus,B-56,North District,City Center,7.3,31,7,0.73,3.0
2025-05-02,13:15,Bus,B-90,North District,West District,5.5,41,0,0.55,5.0
2025-05-02,17:30,Tram,T-12,South District,East District,5.6,83,7,0.22,3.0
2025-05-02,20:00,Bus,B-92,East District,West District,13.7,40,0,1.37,2.0
2025-05-02,23:15,Bus,B-26,North District,South District,6.1,31,3,0.61,2.0
2025-05-03,06:30,Tram,T-5,West District,East District,6.8,36,7,0.27,4.0
2025-05-03,10:15,Metro,M-Blue,West District,City Center,8.6,424,0,0.26,2.0
2025-05-03,11:15,Rail,R-Express,North District,East District,51.2,354,18,2.56,2.0
2025-05-03,14:30,Bus,B-90,West District,North District,3.2,33,0,0.32,2.0
2025-05-03,15:00,Bus,B-15,South District,East District,3.7,39,6,0.37,2.0
2025-05-03,16:30,Metro,M-Yellow,East District,City Center,10.1,307,3,0.3,3.0
2025-05-03,17:15,Bus,B-72,North District,West District,11.5,35,21,1.15,3.0
2025-05-03,22:00,Bus,B-74,West District,City Center,14.8,33,0,1.48,4.0
2025-05-03,23:45,Metro,M-Green,East District,City Center,24.2,317,4,0.73,3.0
2025-05-04,05:00,Metro,M-Blue,East District,North District,9.5,107,4,0.28,3.0
2025-05-04,09:45,Bus,B-67,West District,City Center,7.5,26,0,0.75,3.0
2025-05-04,10:00,Bus,B-98,City Center,North District,4.8,36,3,0.48,3.0
2025-05-04,19:30,Bus,B-75,West District,City Center,14.3,43,11,1.43,3.0
2025-05-04,20:45,Metro,M-Yellow,South District,North District,25.9,454,0,0.78,3.0
2025-05-04,21:00,Rail,R-Local,West District,East District,58.2,441,0,2.91,3.0
2025-05-04,21:15,Rail,R-Express,City Center,East District,51.3,498,29,2.56,1.0
2025-05-04,22:15,Tram,T-10,South District,East District,6.8,84,0,0.27,3.0
2025-05-04,22:15,Rail,R-Express,City Center,South District,78.7,389,9,3.94,2.0
2025-05-05,05:15,Bus,B-12,South District,City Center,8.4,34,2,0.84,3.0
2025-05-05,06:30,Metro,M-Yellow,East District,North District,22.1,416,0,0.66,3.0
2025-05-05,07:30,Bus,B-11,South District,City Center,4.9,51,11,0.49,2.0
2025-05-05,10:15,Bus,B-80,West District,East District,4.1,42,24,0.41,4.0
2025-05-05,10:30,Bus,B-29,West District,North District,12.0,26,0,1.2,3.0
2025-05-05,13:15,Bus,B-39,East District,North District,10.7,52,3,1.07,2.0
2025-05-05,13:45,Bus,B-72,North District,East District,2.1,22,15,0.21,2.0
2025-05-05,16:15,Bus,B-70,East District,City Center,4.8,27,0,0.48,3.0
2025-05-05,19:45,Bus,B-12,North District,South District,10.4,54,0,1.04,4.0
2025-05-06,06:15,Bus,B-27,North District,City Center,5.1,49,6,0.51,3.0
2025-05-06,07:00,Tram,T-8,City Center,West District,5.1,77,0,0.2,2.0
2025-05-06,08:15,Shared Cycling,Cycle-Share,East District,City Center,4.0,1,0,0.0,4.0
2025-05-06,17:30,Metro,M-Red,East District,South District,20.2,331,7,0.61,2.0
2025-05-06,20:30,Tram,T-8,West District,North District,8.3,79,8,0.33,5.0
2025-05-06,21:45,Metro,M-Blue,North District,West District,17.2,275,0,0.52,3.0
2025-05-06,23:15,Bus,B-26,City Center,West District,14.2,33,11,1.42,2.0
2025-05-07,05:45,Bus,B-55,East District,City Center,14.7,53,4,1.47,3.0
2025-05-07,06:15,Bus,B-56,South District,West District,11.6,26,10,1.16,3.0
2025-05-07,10:00,Tram,T-1,East District,South District,7.7,50,0,0.31,3.0
2025-05-07,10:00,Rail,R-Local,West District,East District,29.4,501,0,1.47,1.0
2025-05-07,12:15,Metro,M-Yellow,West District,City Center,5.5,388,0,0.16,5.0
2025-05-07,14:30,Metro,M-Red,South District,North District,14.8,279,17,0.44,3.0
2025-05-07,17:15,Bus,B-52,North District,East District,4.6,1,3,0.46,1.0
2025-05-08,12:00,Bus,B-12,City Center,West District,8.5,23,8,0.85,5.0
2025-05-08,12:30,Rail,R-Express,West District,South District,42.5,252,24,2.12,5.0
2025-05-08,14:00,Bus,B-23,West District,North District,10.8,47,13,1.08,2.0
2025-05-08,14:30,Tram,T-11,East District,North District,7.0,74,13,0.28,5.0
2025-05-08,15:15,Tram,T-1,East District,North District,5.9,43,6,0.24,4.0
2025-05-08,17:30,Tram,T-10,East District,City Center,7.9,55,1,0.32,1.0
2025-05-08,18:00,Metro,M-Blue,East District,West District,16.6,308,5,0.5,4.0
2025-05-08,20:00,Tram,T-7,City Center,North District,9.1,85,6,0.36,3.0
2025-05-09,06:30,Bus,B-27,City Center,West District,4.9,58,10,0.49,3.0
2025-05-09,06:45,Bus,B-25,North District,West District,4.7,7,4,0.47,2.0
2025-05-09,12:15,Metro,M-Blue,South District,North District,27.8,403,0,0.83,3.0
2025-05-09,12:45,Metro,M-Blue,West District,East District,24.9,427,7,0.75,3.0
2025-05-09,18:45,Shared Cycling,Cycle-Share,South District,City Center,1.9,1,0,0.0,4.0
2025-05-09,19:45,Bus,B-98,East District,North District,13.3,37,0,1.33,3.0
2025-05-09,20:15,Tram,T-10,City Center,North District,6.8,92,0,0.27,2.0
2025-05-09,21:30,Bus,B-53,East District,South District,11.1,32,0,1.11,4.0
2025-05-09,22:30,Metro,M-Red,North District,City Center,14.7,350,0,0.44,3.0
2025-05-10,05:00,Metro,M-Green,North District,City Center,14.0,316,7,0.42,3.0
2025-05-10,06:15,Bus,B-26,North District,City Center,11.7,25,0,1.17,3.0
2025-05-10,09:30,Metro,M-Blue,West District,East District,16.6,357,2,0.5,5.0
2025-05-10,13:45,Metro,M-Red,City Center,East District,16.0,532,1,0.48,4.0
2025-05-10,14:45,Bus,B-87,West District,East District,13.5,56,0,1.35,2.0
2025-05-10,16:00,Metro,M-Red,East District,City Center,25.7,515,0,0.77,3.0
2025-05-11,05:15,Bus,B-66,North District,East District,2.6,49,22,0.26,4.0
2025-05-11,11:00,Bus,B-49,South District,North District,13.6,39,0,1.36,5.0
2025-05-11,16:15,Bus,B-47,South District,City Center,11.2,32,0,1.12,3.0
2025-05-11,17:30,Bus,B-45,North District,West District,9.3,37,1,0.93,3.0
2025-05-11,22:15,Metro,M-Blue,West District,North District,7.4,210,0,0.22,3.0
2025-05-12,06:45,Tram,T-6,East District,West District,2.7,14,5,0.11,3.0
2025-05-12,09:00,Bus,B-96,City Center,North District,3.3,40,25,0.33,1.0
2025-05-12,09:15,Bus,B-77,West District,South District,9.4,17,0,0.94,4.0
2025-05-12,11:00,Metro,M-Blue,City Center,West District,11.0,454,3,0.33,3.0
2025-05-13,06:00,Bus,B-97,North District,South District,9.2,15,0,0.92,3.0
2025-05-13,21:00,Metro,M-Yellow,North District,East District,14.4,319,0,0.43,3.0
2025-05-14,08:30,Rail,R-Express,South District,West District,50.0,443,0,2.5,2.0
2025-05-14,09:00,Bus,B-13,City Center,South District,3.9,27,14,0.39,4.0
2025-05-14,18:00,Shared Cycling,Cycle-Share,East District,City Center,3.9,1,0,0.0,4.0
2025-05-14,19:30,Bus,B-10,South District,North District,14.4,52,12,1.44,2.0
2025-05-15,05:15,Metro,M-Green,City Center,East District,27.7,263,1,0.83,4.0
2025-05-15,11:00,Bus,B-73,West District,City Center,11.6,31,0,1.16,3.0
2025-05-15,11:45,Metro,M-Blue,South District,North District,28.1,371,13,0.84,3.0
2025-05-15,18:45,Metro,M-Yellow,East District,City Center,5.7,425,4,0.17,3.0
2025-05-15,20:30,Metro,M-Red,East District,West District,6.9,252,0,0.21,4.0
2025-05-16,08:00,Bus,B-83,East District,South District,12.0,36,25,1.2,2.0
2025-05-16,08:00,Bus,B-99,City Center,North District,4.7,40,0,0.47,4.0
2025-05-16,09:00,Bus,B-34,North District,South District,13.4,65,8,1.34,2.0
2025-05-16,10:30,Metro,M-Blue,South District,City Center,15.2,192,0,0.46,4.0
2025-05-16,10:30,Shared Cycling,Cycle-Share,City Center,South District,0.8,1,0,0.0,4.0
2025-05-16,10:30,Bus,B-98,North District,South District,3.6,48,10,0.36,3.0
2025-05-16,11:45,Bus,B-49,City Center,East District,5.4,30,12,0.54,
2025-05-16,13:15,Metro,M-Green,South District,City Center,25.2,190,0,0.76,3.0
2025-05-16,15:15,Bus,B-59,East District,North District,4.8,34,0,0.48,1.0
2025-05-16,17:45,Bus,B-46,North District,South District,10.4,19,0,1.04,3.0
2025-05-16,18:15,Rail,R-Express,South District,East District,73.6,458,11,3.68,2.0
2025-05-16,19:15,Bus,B-78,West District,North District,7.0,45,3,0.7,1.0
2025-05-16,19:45,Bus,B-70,West District,South District,7.5,43,24,0.75,5.0
2025-05-16,21:30,Bus,B-21,South District,West District,12.4,68,8,1.24,2.0
2025-05-16,21:30,Metro,M-Green,City Center,South District,8.2,554,4,0.25,4.0
2025-05-16,22:00,Rail,R-Local,North District,West District,74.3,478,3,3.71,1.0
2025-05-16,23:15,Rail,R-Local,City Center,North District,40.4,507,0,2.02,
2025-05-17,07:15,Bus,B-72,South District,East District,4.4,42,0,0.44,1.0
2025-05-17,08:00,Bus,B-87,City Center,North District,8.1,33,14,0.81,3.0
2025-05-17,08:30,Bus,B-53,West District,East District,12.5,50,14,1.25,2.0
2025-05-17,10:00,Bus,B-24,South District,City Center,3.0,54,11,0.3,2.0
2025-05-17,15:00,Shared Cycling,Cycle-Share,West District,East District,3.3,1,0,0.0,
2025-05-17,17:30,Metro,M-Blue,City Center,East District,26.0,365,7,0.78,4.0
2025-05-17,18:00,Tram,T-4,City Center,South District,4.0,58,5,0.16,4.0
2025-05-17,18:45,Rail,R-Local,East District,North District,78.2,703,0,3.91,3.0
2025-05-17,21:15,Tram,T-4,City Center,West District,2.8,109,0,0.11,2.0
2025-05-18,06:30,Bus,B-85,East District,West District,11.4,44,0,1.14,3.0
2025-05-18,07:30,Metro,M-Green,East District,South District,8.2,277,2,0.25,4.0
2025-05-18,18:45,Metro,M-Blue,City Center,West District,18.9,192,0,0.57,4.0
2025-05-19,05:00,Bus,B-23,North District,East District,14.9,49,4,1.49,2.0
2025-05-19,06:45,Metro,M-Green,North District,South District,29.3,379,0,0.88,4.0
2025-05-19,13:30,Metro,M-Yellow,North District,East District,28.8,169,0,0.86,3.0
2025-05-20,10:00,Metro,M-Red,North District,East District,28.9,276,7,0.87,4.0
2025-05-20,10:30,Tram,T-6,West District,North District,4.5,52,3,0.18,5.0
2025-05-20,11:15,Tram,T-13,City Center,East District,6.5,74,0,0.26,3.0
2025-05-20,12:45,Bus,B-26,City Center,North District,11.4,11,19,1.14,2.0
2025-05-20,15:00,Metro,M-Red,East District,North District,13.5,170,1,0.4,4.0
2025-05-20,15:30,Bus,B-31,City Center,North District,7.7,30,0,0.77,4.0
2025-05-20,18:15,Bus,B-97,North District,South District,6.9,26,0,0.69,4.0
2025-05-20,19:30,Metro,M-Green,South District,City Center,19.4,341,5,0.58,4.0
2025-05-20,21:00,Metro,M-Red,South District,West District,16.2,258,9,0.49,5.0
2025-05-20,22:15,Rail,R-Express,South District,East District,21.0,338,6,1.05,3.0
2025-05-20,23:15,Metro,M-Green,West District,North District,7.2,408,3,0.22,2.0
2025-05-21,05:15,Rail,R-Local,West District,East District,73.7,575,0,3.69,3.0
2025-05-21,05:15,Bus,B-21,South District,North District,12.5,6,9,1.25,3.0
2025-05-21,07:45,Bus,B-60,South District,East District,12.7,47,0,1.27,2.0
2025-05-21,16:15,Tram,T-2,East District,North District,4.5,91,1,0.18,4.0
2025-05-21,16:30,Bus,B-24,North District,East District,4.9,46,18,0.49,3.0
2025-05-21,18:45,Metro,M-Green,North District,City Center,21.8,413,4,0.65,1.0
2025-05-21,20:00,Shared Cycling,Cycle-Share,South District,East District,3.0,1,0,0.0,4.0
2025-05-21,20:45,Metro,M-Yellow,West District,South District,14.5,277,1,0.43,4.0
2025-05-22,13:45,Rail,R-Local,West District,North District,41.2,218,31,2.06,4.0
2025-05-22,16:45,Tram,T-4,North District,West District,8.5,114,8,0.34,4.0
2025-05-22,17:15,Metro,M-Green,South District,North District,8.9,372,8,0.27,5.0
2025-05-22,18:45,Bus,B-34,East District,North District,9.9,56,14,0.99,3.0
2025-05-22,20:30,Bus,B-18,East District,City Center,6.4,51,0,0.64,2.0
2025-05-22,21:45,Bus,B-21,South District,City Center,13.5,25,9,1.35,2.0
2025-05-22,22:00,Metro,M-Blue,South District,North District,18.1,323,0,0.54,3.0
2025-05-23,08:15,Bus,B-57,North District,City Center,4.4,43,0,0.44,1.0
2025-05-23,08:45,Metro,M-Yellow,West District,North District,25.3,286,0,0.76,5.0
2025-05-23,09:30,Metro,M-Green,North District,South District,18.4,405,0,0.55,3.0
2025-05-23,11:45,Tram,T-1,North District,East District,9.4,41,0,0.38,3.0
2025-05-23,12:00,Bus,B-33,South District,West District,12.9,24,0,1.29,2.0
2025-05-23,16:30,Rail,R-Local,City Center,West District,24.7,639,19,1.24,3.0
2025-05-23,17:30,Shared Cycling,Cycle-Share,East District,West District,1.4,1,0,0.0,3.0
2025-05-23,18:45,Rail,R-Local,North District,West District,34.0,671,0,1.7,1.0
2025-05-23,20:30,Bus,B-83,West District,East District,8.5,54,2,0.85,4.0
2025-05-23,21:30,Bus,B-91,South District,North District,14.4,41,4,1.44,2.0
2025-05-23,22:45,Bus,B-65,City Center,South District,5.0,30,0,0.5,4.0
2025-05-23,23:15,Metro,M-Yellow,South District,North District,10.0,267,2,0.3,4.0
